S.No,e-publish Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Reference Link
344.,18-Aug-2023 06:30 PM.,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,[Replacement of bricks garbage bins by SS garbage bins and other allied work at NPL colony]  [04/0259/2023 WS][2023_CSIR_164980_1],Council of Scientific and Industrial Research||NPL New Delhi - CSIR||ESD-NPL - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2Bec7bB61%2F27kdxW2%2BecJMA%3D%3D
345.,18-Aug-2023 06:55 PM.,07-Sep-2023 01:00 PM,08-Sep-2023 01:00 PM,[4G Backhaul OFC Tender-1 MD-CVM 60KM Section-5]  [E-403119 VSK BA-28/11(11)/3/2023][2023_BSNL_164940_5],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SZp7OtJ%2BqTxvl0YB7SLeeRQ%3D%3D
346.,18-Aug-2023 06:55 PM.,07-Sep-2023 01:00 PM,08-Sep-2023 01:00 PM,[4G Backhaul OFC Tender-1 MD-CVM 60KM Section-4]  [E-403119 VSK BA-28/11(11)/3/2023][2023_BSNL_164940_4],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SEDKW3%2FCgn374Pr6ZMhqevw%3D%3D
347.,18-Aug-2023 06:55 PM.,25-Aug-2023 10:00 AM,25-Aug-2023 01:00 PM,[EEE/SZ/2023-24/Nit.33]  [MCD/EST/4191/2023_6_1_1][2023_MCD_164981_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SpREvSfMkl9CMZ51TGJS3KQ%3D%3D
348.,18-Aug-2023 06:55 PM.,07-Sep-2023 03:00 PM,08-Sep-2023 03:00 PM,[Maintenance of Primary underground cables in Kolhapur Urban]  [Maintenance of Primary UG cables in Kolhapur Urban][2023_BSNL_164983_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Kolhapur",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SkA32qlgs1qB8zaIHzJQsYw%3D%3D
349.,19-Aug-2023 09:00 AM.,26-Aug-2023 06:00 PM,29-Aug-2023 04:00 PM,[Repair of Quarter]  [37/CD-I/BSNL/Kol/23-24][2023_BSNL_164996_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbSJouhWr0jhbEqo0y4mfjQ%3D%3D
350.,18-Aug-2023 06:40 PM.,24-Aug-2023 12:00 PM,25-Aug-2023 12:00 PM,[Work of SITC and five year Comprehensive Annual Maintenance Contract of IP CCTV Surveillance System at PTPS Panipat]  [HR-RTK-12/15(11)/3/2023-EB-RTK BA][2023_BSNL_164988_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Haryana Telecom Circle||GMTD,Sonepat",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S27PZvI9IyHCCA2YGBBzj1A%3D%3D
351.,19-Aug-2023 10:00 AM.,24-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Manning and Operation of Electrical Switch Gear round the clock in 3 shifts to keep the system in good working condition at Cruise Terminal VPA for a period of One year]  [27/IMEE/ELE/AMC/354Dt.18.8.23][2023_VPT_164978_1],Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Electrical and Electronics - VPT,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SHoA0UlU4hihi%2FyToT1eghQ%3D%3D
352.,18-Aug-2023 06:30 PM.,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,[Replacement of bricks garbage bins by SS garbage bins and other allied work at NPL colony]  [04/0259/2023 WS][2023_CSIR_164980_1],Council of Scientific and Industrial Research||NPL New Delhi - CSIR||ESD-NPL - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2Bec7bB61%2F27kdxW2%2BecJMA%3D%3D
353.,18-Aug-2023 06:55 PM.,07-Sep-2023 01:00 PM,08-Sep-2023 01:00 PM,[4G Backhaul OFC Tender-1 MD-CVM 60KM Section-5]  [E-403119 VSK BA-28/11(11)/3/2023][2023_BSNL_164940_5],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SZp7OtJ%2BqTxvl0YB7SLeeRQ%3D%3D
354.,18-Aug-2023 06:55 PM.,07-Sep-2023 01:00 PM,08-Sep-2023 01:00 PM,[4G Backhaul OFC Tender-1 MD-CVM 60KM Section-4]  [E-403119 VSK BA-28/11(11)/3/2023][2023_BSNL_164940_4],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SEDKW3%2FCgn374Pr6ZMhqevw%3D%3D
355.,18-Aug-2023 06:55 PM.,25-Aug-2023 10:00 AM,25-Aug-2023 01:00 PM,[EEE/SZ/2023-24/Nit.33]  [MCD/EST/4191/2023_6_1_1][2023_MCD_164981_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SpREvSfMkl9CMZ51TGJS3KQ%3D%3D
356.,18-Aug-2023 06:55 PM.,07-Sep-2023 03:00 PM,08-Sep-2023 03:00 PM,[Maintenance of Primary underground cables in Kolhapur Urban]  [Maintenance of Primary UG cables in Kolhapur Urban][2023_BSNL_164983_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Kolhapur",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SkA32qlgs1qB8zaIHzJQsYw%3D%3D
357.,19-Aug-2023 09:00 AM.,26-Aug-2023 06:00 PM,29-Aug-2023 04:00 PM,[Repair of Quarter]  [37/CD-I/BSNL/Kol/23-24][2023_BSNL_164996_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbSJouhWr0jhbEqo0y4mfjQ%3D%3D
358.,18-Aug-2023 06:40 PM.,24-Aug-2023 12:00 PM,25-Aug-2023 12:00 PM,[Work of SITC and five year Comprehensive Annual Maintenance Contract of IP CCTV Surveillance System at PTPS Panipat]  [HR-RTK-12/15(11)/3/2023-EB-RTK BA][2023_BSNL_164988_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Haryana Telecom Circle||GMTD,Sonepat",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S27PZvI9IyHCCA2YGBBzj1A%3D%3D
359.,19-Aug-2023 06:00 PM.,09-Sep-2023 01:00 PM,11-Sep-2023 01:00 PM,[4G Backhaul OFC Tender-2-CVM-PDR 58KM Section-2]  [E-403953 VSK BA-28/11(11)/5/2023][2023_BSNL_165078_2],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2FbEFg1GqCJC8M7m72gZRQw%3D%3D
360.,21-Aug-2023 09:00 AM.,20-Sep-2023 03:00 PM,21-Sep-2023 04:00 PM,[2nd Call for Construction of service road - from Parrikala junction to Ram Darbar Temple including minor bridge and Construction of Rotary Junction at Ch 337.885 on End of Durg bypass to MH border of NH53]  [11052/RO-Raipur/Tender/EDB][2023_NHAI_165101_1],National Highways Authority of India||RO-Raipur - NHAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S8%2BYNrrIzPdaTvwtTDiwTWQ%3D%3D
361.,21-Aug-2023 03:00 PM.,18-Sep-2023 12:00 PM,23-Sep-2023 01:00 PM,[GM/NTL/Plg/Tdr/ARC-PP/NTL OA/23-24 ]  [GM/NTL/Plg/Tdr/ARC-PP/NTL OA/23-24][2023_BSNL_165133_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Uttarakhand Telecom Circle||GMTD Nainital,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sw4HDEViMv3j4%2BD8ncI9OHQ%3D%3D
362.,19-Aug-2023 06:00 PM.,09-Sep-2023 01:00 PM,11-Sep-2023 01:00 PM,[4G Backhaul OFC Tender-2 CVM-PDR 58KM Section-1]  [E-403953 VSK BA-28/11(11)/5/2023][2023_BSNL_165078_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SVMCdn%2B1VwXTgtmRfQzQpAw%3D%3D
363.,19-Aug-2023 06:00 PM.,09-Sep-2023 01:00 PM,11-Sep-2023 01:00 PM,[4G Backhaul OFC Tender-2 CVM-PDR 58KM Section-3]  [E-403953 VSK BA-28/11(11)/5/2023][2023_BSNL_165078_3],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sx%2FwzqZKY4UQtVWAl3wnAOg%3D%3D
364.,21-Aug-2023 03:00 PM.,11-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,"[Manning Operation Maintenance of 11KV receiving substationHTLT circuit breakers and other 11/.433 KV substation yards, and associated structures HT LT OH lines switch gears and attending fuse of calls etcfor a period of two years]  [28/IMEE/ELE/AMC/308Dt21.08.23][2023_VPT_165135_1]",Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Electrical and Electronics - VPT,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SI8dUqxPU9OKLXd0QdWgg3w%3D%3D
365.,21-Aug-2023 01:10 PM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[License for Eyewear Store in Ground Floor SHA of NITB at S.V. Airport.]  [AAI/RPR/COMML/EYEWEAR/2023][2023_AAI_165137_1],Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||COMMERCIAL-ER - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S94BN4cR5%2FpjJq112BMd94Q%3D%3D
366.,19-Aug-2023 04:00 PM.,12-Sep-2023 02:00 PM,13-Sep-2023 03:00 PM,[OUTSOURCING OF BTS IN BETTIAH OA UNDER MUZAFFARPUR BA]  [GC-1219/BTS Upkeep/BETTIAH OA/2023-24][2023_BSNL_165053_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Muzaffarpur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SFyV4igtc37fUB4uI9p9wQA%3D%3D
367.,19-Aug-2023 06:00 PM.,09-Sep-2023 01:00 PM,11-Sep-2023 01:00 PM,[ 4G Backhaul OFC Tender-2 CVM-PDR 58KM Section-4]  [E-403953 VSK BA-28/11(11)/5/2023][2023_BSNL_165078_4],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SXPhNunnn7X2bPhGOnwhCYw%3D%3D
368.,19-Aug-2023 06:00 PM.,09-Sep-2023 01:00 PM,11-Sep-2023 01:00 PM,[ 4G Backhaul OFC Tender-2 CVM-PDR 58KM Section-5]  [E-403953 VSK BA-28/11(11)/5/2023][2023_BSNL_165078_5],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SzLVtNzFU%2B2BHnyJ2Kfx4Pw%3D%3D
369.,19-Aug-2023 06:00 PM.,09-Sep-2023 01:00 PM,11-Sep-2023 01:00 PM,[ 4G Backhaul OFC Tender-2 CVM-PDR 58KM Section-6]  [E-403953 VSK BA-28/11(11)/5/2023][2023_BSNL_165078_6],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SXZT2bjQRArJ0azKlqNDPMQ%3D%3D
370.,21-Aug-2023 05:00 PM.,05-Sep-2023 02:00 PM,05-Sep-2023 02:30 PM,[Improvement and development of MCPS in D4 Block in Nand nagri in Ward 220 Nand Nagari Shah(N) Zone]  [MCD/TR/2059/2022_5_1_1/1][2023_MCD_165125_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SjyfE7gL2U97kXMOpYlbm4w%3D%3D
371.,18-Aug-2023 06:55 PM.,07-Sep-2023 03:00 PM,08-Sep-2023 03:00 PM,[Maintenance of Primary underground cables in Kolhapur Urban]  [Maintenance of Primary UG cables in Kolhapur Urban][2023_BSNL_164983_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Kolhapur",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SkA32qlgs1qB8zaIHzJQsYw%3D%3D
372.,21-Aug-2023 03:00 PM.,11-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,"[Manning Operation Maintenance of 11KV receiving substationHTLT circuit breakers and other 11/.433 KV substation yards, and associated structures HT LT OH lines switch gears and attending fuse of calls etcfor a period of two years]  [28/IMEE/ELE/AMC/308Dt21.08.23][2023_VPT_165135_1]",Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Electrical and Electronics - VPT,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SI8dUqxPU9OKLXd0QdWgg3w%3D%3D
373.,21-Aug-2023 01:10 PM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[License for Eyewear Store in Ground Floor SHA of NITB at S.V. Airport.]  [AAI/RPR/COMML/EYEWEAR/2023][2023_AAI_165137_1],Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||COMMERCIAL-ER - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S94BN4cR5%2FpjJq112BMd94Q%3D%3D
374.,19-Aug-2023 09:00 AM.,26-Aug-2023 06:00 PM,29-Aug-2023 04:00 PM,[Repair of Quarter]  [37/CD-I/BSNL/Kol/23-24][2023_BSNL_164996_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbSJouhWr0jhbEqo0y4mfjQ%3D%3D
375.,21-Aug-2023 05:00 PM.,05-Sep-2023 02:00 PM,05-Sep-2023 02:30 PM,[Improvement and development of MCPS in D4 Block in Nand nagri in Ward 220 Nand Nagari Shah(N) Zone]  [MCD/TR/2059/2022_5_1_1/1][2023_MCD_165125_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SjyfE7gL2U97kXMOpYlbm4w%3D%3D
376.,18-Aug-2023 06:40 PM.,24-Aug-2023 12:00 PM,25-Aug-2023 12:00 PM,[Work of SITC and five year Comprehensive Annual Maintenance Contract of IP CCTV Surveillance System at PTPS Panipat]  [HR-RTK-12/15(11)/3/2023-EB-RTK BA][2023_BSNL_164988_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Haryana Telecom Circle||GMTD,Sonepat",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S27PZvI9IyHCCA2YGBBzj1A%3D%3D
377.,21-Aug-2023 01:00 PM.,05-Sep-2023 02:00 PM,06-Sep-2023 02:00 PM,[GM/BA-STP/Plg/Tender/BNP2/ STP/ZONE-2/2023-24 ]  [GM/BA-STP/Plg/Tender/BNP2/ STP/ZONE-2/2023-24 ][2023_BSNL_165128_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Sitapur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S3S2fRFmUw0u2Er005n62BQ%3D%3D
378.,21-Aug-2023 01:05 PM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[License for Ayurvedic and Herbal Products Store in Ground Floor SHA of NITB at S.V. Airport]  [AAI/RPR/COMML/AYURVEDIC/2023][2023_AAI_165123_1],Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||COMMERCIAL-ER - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SH1swrcAgl3lWMLwYzUOprA%3D%3D
379.,21-Aug-2023 03:00 PM.,18-Sep-2023 12:00 PM,23-Sep-2023 01:00 PM,[GM/NTL/Plg/Tdr/ARC-PP/AMO OA/23-24]  [GM/NTL/Plg/Tdr/ARC-PP/AMO OA/23-24][2023_BSNL_165124_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Uttarakhand Telecom Circle||GMTD Nainital,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SpM%2BnXNx%2FD4nhZ0eEEey0Mw%3D%3D
380.,21-Aug-2023 05:30 PM.,13-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,"[Design, Supply, Installation, Testing and Commissioning of Electronic Interlocking Based Signaling System from Maho to Anuradhapura section of Sri Lanka Railway]  [IRCON/SNT/1800021/9902][2023_IRCON_165149_1]",IRCON International Limited||Bihar - IRCON,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S0%2BIV9oOy7VIrxJ6ueR6tmg%3D%3D
381.,22-Aug-2023 10:00 AM.,15-Sep-2023 02:00 PM,16-Sep-2023 03:00 PM,[Repairing of SMPS Power Plant Modules and Racks for various makes in CHAPRA and MOTIHARI OA]  [GC-1055/Repairing of SMPS PP Module/CHP-MTH/23-24][2023_BSNL_165203_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Muzaffarpur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S2%2FIOb8MMbQOaJPyb1yCUvg%3D%3D
382.,21-Aug-2023 05:30 PM.,11-Sep-2023 02:00 PM,12-Sep-2023 02:30 PM,[NIT No. D2/TP-II/Tender/ OFC/ 3 sites/ 2023-24/5 dtd at MR 18.08.23]  [NIT No. D2/TP-II/Tender/ OFC/ 3 sites/ 4G USOF /20][2023_BSNL_165187_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||GMTD Mangalore,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Se2RU07La5J06DYjldphcIg%3D%3D
383.,21-Aug-2023 06:55 PM.,28-Aug-2023 05:30 PM,29-Aug-2023 05:30 PM,"[Periodic Renewal from Km.169/0 to 169/210, Km. 169/360 to 169/870, Km. 170/113 to 170/518, Km. 173/000 to 173/500 and Km. 174/825 to 175/0 of Warangal-Khamamm section of NH - 563 in the State of Telangana]  [NHAI/PIU-KMM/ W-K-NH563 /PR/2023-3][2023_NHAI_165210_1]",National Highways Authority of India||RO-Hyderabad - NHAI||Khammam - NHAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SjFNXvzogaRpDTm%2FcWcJBSw%3D%3D
384.,21-Aug-2023 06:00 PM.,11-Sep-2023 03:30 PM,12-Sep-2023 04:00 PM,"[Deployment of Security Personnel through DGR sponsored Agency for Non-Core duties at M.P. Airport, Udaipur (2023)]  [AAI/VAUD/SECURITY/2023/DGR Manpower/PSA][2023_AAI_165165_1]",Airports Authority of India||Northern Region - AAI||UDAIPUR - AAI||CNS-UDAIPUR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbmZ9iSX1L%2B0P20A%2B0kKQzw%3D%3D
385.,21-Aug-2023 03:00 PM.,18-Sep-2023 12:00 PM,23-Sep-2023 01:00 PM,[GM/NTL/Plg/Tdr/ARC-PP/AMO OA/23-24]  [GM/NTL/Plg/Tdr/ARC-PP/AMO OA/23-24][2023_BSNL_165124_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Uttarakhand Telecom Circle||GMTD Nainital,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SpM%2BnXNx%2FD4nhZ0eEEey0Mw%3D%3D
386.,22-Aug-2023 09:00 AM.,12-Sep-2023 06:00 PM,14-Sep-2023 11:00 AM,"[Annual Maintenance Contract for Civil Works in MSSR Building and Residential area at MSSR site at Berhampur, Odisha ]  [AAI/BS/Engg(C)/NIT-12/2023-24][2023_AAI_165209_1]",Airports Authority of India||Eastern Region - AAI||BHUBANESWAR - AAI||ENGG CIVIL-VEBS - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SRwmY%2BtP%2F%2Bqu8n6Zq%2BdT0Eg%3D%3D
387.,22-Aug-2023 11:00 AM.,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,[ELECTRICIFICATION JOB AT DIFFERENT LOCATIONS OF SHED AND BUILDING INSIDE PATA PLANT]  [GAIL/PATA/20111220/MD][2023_GAIL_164913_1],GAIL (India) Limited||GAIL India Limited- Pata,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S6qVv7X9KpkXqckJGhefavw%3D%3D
388.,21-Aug-2023 03:30 PM.,11-Sep-2023 03:30 PM,12-Sep-2023 03:30 PM,"[EXPRESSION OF INTEREST FOR REPAIRING OF GSM BTS 2G, 3G and MW CARDS IN NORTH ZONE CIRCLES OF BSNL]  [RJCO-23/11(17)/1/2023-Tx AND MM/180][2023_BSNL_165142_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GM(MM and MKTG)||AD(MM-I),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SH2fmGnWCQ7PQcp10zioybg%3D%3D
389.,22-Aug-2023 12:00 PM.,28-Aug-2023 03:00 PM,28-Aug-2023 03:00 PM,[Renovation of battery room in Dielectric section and toilets of MED division (First Floor) inside CEL]  [C-2(b)/WC/0907/0448/2023][2023_CEL_161754_4],Central Electronics Limited,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SkvryftWYvfKYJq7RihpEUA%3D%3D
390.,22-Aug-2023 03:00 PM.,09-Sep-2023 03:00 PM,11-Sep-2023 03:00 PM,"[Tender for Printing,Transportation and supply of POP material across Nagpur BSNL SSA]  [Tender for Printing,supply of POP material][2023_BSNL_165172_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Nagpur",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SEQSbmF%2FRt1InxUlXk0zDBQ%3D%3D
391.,21-Aug-2023 06:00 PM.,13-Sep-2023 02:00 PM,14-Sep-2023 03:00 PM,[OUTSOURCING OF BTS IN HAJIPUR OA UNDER MUZAFFARPUR BA]  [GC-1220/BTS Upkeep/HAJIPUR OA/2023-24][2023_BSNL_165176_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Muzaffarpur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SiVjuAlgINBoqP72Dio8gtQ%3D%3D
392.,21-Aug-2023 05:00 PM.,05-Sep-2023 02:30 PM,06-Sep-2023 03:00 PM,"[E-Tender for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works under 4G Saturation Project in villages in Salumber,Sarada,Lasadiya(12 locations) in Udaipur S]  [RJUPRD-23/11(16)25/2023-ADMN AND PLG UPR][2023_BSNL_165174_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Udaipur||JTO (Plg),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbF8daf4%2BbYXUEJIKnQkOjw%3D%3D
393.,21-Aug-2023 05:00 PM.,05-Sep-2023 03:00 PM,06-Sep-2023 03:00 PM,"[E-Tender for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc., for REHAB WORK in RATNAGIRI SSA under PH-V]  [NIT16/CNTXW/MBI/ Rehab V RTG-RGD/23-24/ dt 21-8-23][2023_BSNL_165181_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||GMM,WTR Mumbai/ DGMM WTR Thane||SDE Admin, Thane",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S2GopOCbd%2FPtHylZsYrVozw%3D%3D
394.,22-Aug-2023 11:00 AM.,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,[ELECTRICIFICATION JOB AT DIFFERENT LOCATIONS OF SHED AND BUILDING INSIDE PATA PLANT]  [GAIL/PATA/20111220/MD][2023_GAIL_164913_1],GAIL (India) Limited||GAIL India Limited- Pata,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S6qVv7X9KpkXqckJGhefavw%3D%3D
